text,amount,date,label
Stripe Payout,3243.39,17:32.5,Salary
Fruit Stand #8687,177.85,17:32.5,Groceries
Employer Inc #3341,2366.61,17:32.5,Salary
Spotify #6723,193.06,17:32.5,Utilities
Delta,48.83,17:32.5,Travel
Rent Payment,1171.61,17:32.5,Rent
Hospital,46.22,17:32.5,Health
Best Buy #2807,196.59,17:32.5,Shopping
Butcher #5221,99.11,17:32.5,Groceries
Gym Membership,48.88,17:32.5,Health
Ticketmaster #3011,52.97,17:32.5,Entertainment
Hospital,194.97,17:32.5,Health
Booking.com #2105,107.59,17:32.5,Travel
Chipotle #8192,43.31,17:32.5,Food & Drink
Whole Foods,53.5,17:32.5,Groceries
Doctor Visit,16.8,17:32.5,Health
Bookstore,80.29,17:32.5,Shopping
Netflix #6879,18.15,17:32.5,Utilities
Target,116.85,17:32.5,Shopping
Stripe Payout,4329.17,17:32.5,Salary
Shell #5492,63.88,17:32.5,Transport
Lime Scooter #8499,179.78,17:32.5,Transport
Netflix Sub #5042,91.16,17:32.5,Entertainment
Internet Bill #5754,51.96,17:32.5,Utilities
Payroll,3333.27,17:32.5,Salary
Fruit Stand,25.65,17:32.5,Groceries
MTA Subway #3483,142.71,17:32.5,Transport
Payroll #2256,4326.13,17:32.5,Salary
Parking,87.6,17:32.5,Transport
Bus Fare #7084,119.31,17:32.5,Transport
Walmart,30.79,17:32.5,Shopping
MTA Subway,105.24,17:32.5,Transport
CVS #9824,104.95,17:32.5,Health
Expedia #2364,59.43,17:32.5,Travel
Amazon,179.18,17:32.5,Shopping
Electric Co,100.67,17:32.5,Utilities
Parking #1601,22.17,17:32.5,Transport
Gym Membership #6925,13.66,17:32.5,Health
Train Ticket #4583,42.27,17:32.5,Transport
Shell #3898,121.89,17:32.5,Transport
CVS,197.5,17:32.5,Health
Electric Co #5180,94.68,17:32.5,Utilities
MTA Subway,162.28,17:32.5,Transport
Netflix Sub #4770,199.67,17:32.5,Entertainment
Property Mgmt #5366,2781.15,17:32.5,Rent
